,EP_POV,EP_UNEMP,EP_PCI,EP_NOHSDP,EP_AGE65,EP_AGE17,EP_DISABL,EP_SNGPNT,EP_MINRTY,EP_LIMENG,EP_MUNIT,EP_MOBILE,EP_CROWD,EP_NOVEH,EP_GROUPQ
1016,17.8,5.4,32965,9.1,12.6,21.0,12.2,9.0,28.7,2.5,17.4,1.1,1.9,7.9,3.9
1017,15.1,5.9,23043,18.9,13.4,24.7,14.2,8.5,8.9,0.7,3.7,31.4,2.1,5.9,1.2
1018,25.3,4.4,20721,19.9,16.8,23.9,19.4,7.5,4.9,0.2,2.3,21.4,2.1,6.4,1.2
1019,15.4,5.8,24432,21.7,23.9,19.6,24.5,5.7,13.2,0.2,0.1,15.5,1.6,7.6,3.3
1020,14.8,5.9,31980,10.0,15.3,22.4,14.2,9.8,32.1,2.1,12.5,1.4,2.0,9.6,2.1
1021,17.7,6.2,30215,13.3,14.4,24.6,14.8,12.4,10.8,1.6,1.6,4.4,2.0,4.6,3.5
1022,24.1,6.7,20212,21.8,17.4,23.7,19.5,7.9,5.8,0.3,0.2,21.7,3.0,6.7,1.1
1023,13.6,5.3,27338,16.4,20.4,21.5,23.2,4.1,4.3,0.0,0.5,21.1,1.7,5.8,0.6
1024,22.8,9.1,21659,19.6,16.2,24.4,21.1,10.7,12.3,0.5,1.4,14.3,2.9,7.8,4.3
1025,16.0,9.2,25745,14.8,17.9,22.2,18.7,6.2,9.1,0.6,2.4,7.3,1.1,6.4,0.7
1026,17.4,8.9,21521,19.4,18.2,20.5,23.1,7.3,7.9,0.1,0.3,21.0,1.4,7.0,2.8
1027,20.5,9.1,24231,17.9,17.7,24.5,20.6,8.2,5.6,0.2,1.3,21.2,1.6,3.9,1.3
1028,16.4,5.1,23045,17.4,17.4,24.4,20.5,8.0,5.2,0.3,1.1,28.1,4.4,3.1,0.7
1029,21.9,7.0,20397,19.5,15.1,23.8,23.4,9.0,3.9,0.1,0.5,25.2,3.4,7.5,2.2
1030,10.6,9.8,26893,12.6,22.1,22.0,18.7,6.3,11.7,0.3,0.7,17.5,1.5,5.4,0.7
1031,17.2,5.1,24571,12.5,22.7,18.5,22.6,6.9,5.7,0.7,4.9,9.9,1.3,9.0,3.4
1032,12.0,3.8,32400,7.2,26.4,16.7,16.8,7.7,4.0,0.2,1.8,9.7,1.1,4.6,2.0
